nohup: ignoring input
🚀 系统监控Agent启动！准备建立数据库连接池...
✅ 数据库网络打通！准备开启 5 秒级轮询上报...
==================================================
✅ 识别到本机的物理核载名: xiu-virtual-machine
[19:59:07] 📡 成功上报 -> 内存: 45.46% | CPU: 0.51%
[19:59:12] 📡 成功上报 -> 内存: 45.45% | CPU: 0.51%
[19:59:17] 📡 成功上报 -> 内存: 45.46% | CPU: 0.00%
[19:59:22] 📡 成功上报 -> 内存: 45.46% | CPU: 0.00%
[19:59:27] 📡 成功上报 -> 内存: 45.46% | CPU: 1.01%
[19:59:32] 📡 成功上报 -> 内存: 45.46% | CPU: 0.00%
[19:59:37] 📡 成功上报 -> 内存: 45.46% | CPU: 0.51%
[19:59:42] 📡 成功上报 -> 内存: 45.46% | CPU: 0.00%
[19:59:47] 📡 成功上报 -> 内存: 45.46% | CPU: 0.52%
[19:59:52] 📡 成功上报 -> 内存: 45.46% | CPU: 1.01%
[19:59:57] 📡 成功上报 -> 内存: 45.46% | CPU: 1.01%
[20:00:02] 📡 成功上报 -> 内存: 45.46% | CPU: 0.00%
[20:00:07] 📡 成功上报 -> 内存: 45.46% | CPU: 0.51%
[20:00:12] 📡 成功上报 -> 内存: 45.46% | CPU: 0.00%
[20:00:17] 📡 成功上报 -> 内存: 45.45% | CPU: 0.00%
[20:00:22] 📡 成功上报 -> 内存: 45.45% | CPU: 0.00%
[20:00:27] 📡 成功上报 -> 内存: 45.45% | CPU: 0.00%
[20:00:32] 📡 成功上报 -> 内存: 45.45% | CPU: 0.00%
[20:00:37] 📡 成功上报 -> 内存: 45.45% | CPU: 0.00%
[20:00:42] 📡 成功上报 -> 内存: 45.45% | CPU: 2.55%
[20:00:47] 📡 成功上报 -> 内存: 45.45% | CPU: 1.53%
[20:00:52] 📡 成功上报 -> 内存: 45.46% | CPU: 4.59%
[20:00:57] 📡 成功上报 -> 内存: 45.49% | CPU: 2.72%
[20:01:02] 📡 成功上报 -> 内存: 45.49% | CPU: 3.13%
[20:01:07] 📡 成功上报 -> 内存: 45.50% | CPU: 2.08%
[20:01:12] 📡 成功上报 -> 内存: 45.49% | CPU: 3.09%
[20:01:17] 📡 成功上报 -> 内存: 45.49% | CPU: 3.11%
[20:01:22] 📡 成功上报 -> 内存: 45.49% | CPU: 0.52%
[20:01:27] 📡 成功上报 -> 内存: 45.49% | CPU: 1.02%
[20:01:32] 📡 成功上报 -> 内存: 45.48% | CPU: 0.00%
[20:01:37] 📡 成功上报 -> 内存: 45.48% | CPU: 0.00%
[20:01:42] 📡 成功上报 -> 内存: 45.48% | CPU: 0.00%
[20:01:47] 📡 成功上报 -> 内存: 45.48% | CPU: 0.51%
[20:01:52] 📡 成功上报 -> 内存: 45.47% | CPU: 1.03%
[20:01:57] 📡 成功上报 -> 内存: 45.47% | CPU: 0.00%
[20:02:02] 📡 成功上报 -> 内存: 45.47% | CPU: 1.01%
[20:02:07] 📡 成功上报 -> 内存: 45.47% | CPU: 0.50%
[20:02:12] 📡 成功上报 -> 内存: 45.46% | CPU: 0.00%
[20:02:17] 📡 成功上报 -> 内存: 45.46% | CPU: 1.01%
[20:02:22] 📡 成功上报 -> 内存: 45.46% | CPU: 0.51%
[20:02:27] 📡 成功上报 -> 内存: 45.46% | CPU: 0.51%
[20:02:32] 📡 成功上报 -> 内存: 45.45% | CPU: 1.01%
[20:02:37] 📡 成功上报 -> 内存: 45.45% | CPU: 0.00%
